61 2:14 ,Adultery 
40 5:27 ,Adultery 
18 24:15 ,Adultery 
20 2:16 ,Adultery 
59 4:4 ,Adultery 
58 13:4 ,Adultery 
48 5:21 ,Adultery 
48 5:20 ,Adultery 
48 5:19 ,Adultery 
46 7:39 ,Adultery 
46 7:16 ,Adultery 
46 7:15 ,Adultery 
46 7:14 ,Adultery 
46 7:11 ,Adultery 
46 7:13 ,Adultery 
46 7:12 ,Adultery 
46 7:10 ,Adultery 
46 6:9 ,Adultery 
45 7:3 ,Adultery 
45 7:2 ,Adultery 
45 7:1 ,Adultery 
42 16:18 ,Adultery 
41 10:11 ,Adultery 
41 10:12 ,Adultery 
41 10:10 ,Adultery 
41 10:9 ,Adultery 
41 10:8 ,Adultery 
41 10:7 ,Adultery 
41 10:6 ,Adultery 
41 10:5 ,Adultery 
41 10:4 ,Adultery 
41 10:3 ,Adultery 
41 10:2 ,Adultery 
41 7:21 ,Adultery 
41 6:19 ,Adultery 
41 6:18 ,Adultery 
41 6:17 ,Adultery 
40 19:10 ,Adultery 
40 19:9 ,Adultery 
40 19:8 ,Adultery 
40 19:7 ,Adultery 
40 19:6 ,Adultery 
40 19:5 ,Adultery 
40 19:4 ,Adultery 
40 19:3 ,Adultery 
40 15:19 ,Adultery 
40 5:31 ,Adultery 
40 5:28 ,Adultery 
40 5:32 ,Adultery 
39 2:14 ,Adultery 
39 2:15 ,Adultery 
39 2:16 ,Adultery 
21 5:6 ,Adultery 
21 5:5 ,Adultery 
21 5:4 ,Adultery 
20 7:25 ,Adultery 
20 7:27 ,Adultery 
20 7:26 ,Adultery 
20 7:12 ,Adultery 
20 7:11 ,Adultery 
20 7:10 ,Adultery 
20 6:32 ,Adultery 
20 6:31 ,Adultery 
20 6:30 ,Adultery 
20 6:29 ,Adultery 
20 6:28 ,Adultery 
20 6:27 ,Adultery 
20 6:26 ,Adultery 
20 6:25 ,Adultery 
20 6:24 ,Adultery 
20 5:20 ,Adultery 
20 5:19 ,Adultery 
20 5:18 ,Adultery 
20 2:17 ,Adultery 
5 22:22 ,Adultery 
3 20:10 ,Adultery 
3 18:20 ,Adultery 
2 20:14 ,Adultery 
23 51:16 ,Authority of the Bible 
60 1:12 ,Authority of the Bible 
60 1:11 ,Authority of the Bible 
58 1:2 ,Authority of the Bible 
58 1:1 ,Authority of the Bible 
40 24:35 ,Authority of the Bible 
23 40:8 ,Authority of the Bible 
19 119:152 ,Authority of the Bible 
45 4:16 ,Authority of the Bible 
42 21:33 ,Authority of the Bible 
40 5:17 ,Authority of the Bible 
40 5:18 ,Authority of the Bible 
27 9:12 ,Authority of the Bible 
26 12:25 ,Authority of the Bible 
19 111:7 ,Authority of the Bible 
19 93:5 ,Authority of the Bible 
11 8:56 ,Authority of the Bible 
66 1:1 ,Authority of the Bible 
44 28:25 ,Authority of the Bible 
44 1:16 ,Authority of the Bible 
26 1:3 ,Authority of the Bible 
24 36:2 ,Authority of the Bible 
24 36:1 ,Authority of the Bible 
61 3:16 ,Authority of the Bible 
61 3:15 ,Authority of the Bible 
61 3:2 ,Authority of the Bible 
61 1:21 ,Authority of the Bible 
61 1:20 ,Authority of the Bible 
61 1:19 ,Authority of the Bible 
61 1:18 ,Authority of the Bible 
61 1:17 ,Authority of the Bible 
61 1:16 ,Authority of the Bible 
61 1:15 ,Authority of the Bible 
60 1:25 ,Authority of the Bible 
55 3:15 ,Authority of the Bible 
55 3:16 ,Authority of the Bible 
53 2:15 ,Authority of the Bible 
46 15:8 ,Authority of the Bible 
46 15:7 ,Authority of the Bible 
46 15:6 ,Authority of the Bible 
46 15:5 ,Authority of the Bible 
46 15:4 ,Authority of the Bible 
46 15:3 ,Authority of the Bible 
46 15:2 ,Authority of the Bible 
46 15:1 ,Authority of the Bible 
46 14:37 ,Authority of the Bible 
44 2:42 ,Authority of the Bible 
43 17:17 ,Authority of the Bible 
42 1:4 ,Authority of the Bible 
42 1:3 ,Authority of the Bible 
